Centre,CUPs,Codigo,Estado,Comunidad,Provincia,Dirección Suministro,CP,Geo-Loaction,Energy Rating,Audit Status,Distribuidora Eléctrica
Alcalá de Henares,ES0021000003951231FN,CB,Alta,Madrid,Madrid,"Vía Complutense, 83",28805,"40.48847, -3.35684",Pending Audit,No Data,i-DE (Iberdrola)
Ciudad Lineal,"ES0022000006638356GZ , ES0022000007582708PD",CC,Alta,Madrid,Madrid,"Alcalá, 463",28027,"40.43921, -3.63379",D,Listo,UFD (Naturgy)
Utebo,ES0031300248200002WL,FR,Alta,Aragon,Zaragoza,"C. Rumanía, 1D, 50180 Utebo, Zaragoza
",50180,"41.71003, -1.0122",D,Listo,e-distribución (Endesa)
Fuenlabrada,ES0021000004235224GR,CE,Alta,Madrid,Madrid,"Avda. de la Constitución, 63",28944,"40.28118, -3.78545",D,Listo,i-DE (Iberdrola)
Legazpi,ES0021000004930773TF,CF,Alta,Madrid,Madrid,"Pº  de las Delicias, 135",28045,"40.39225, -3.69449",C,Listo,i-DE (Iberdrola)
Francisco Silvela,ES0021000004982444SC,CG,Alta,Madrid,Madrid,"Francisco Silvela, 79-81",28028,"40.43648, -3.67702",C,Listo,i-DE (Iberdrola)
Móstoles-2,ES0021000015955227GD,CH,Alta,Madrid,Madrid,"Los Maestros, 3",28935,"40.32668, -3.87971",E,Listo,i-DE (Iberdrola)
Pinto,ES0021000005501465LT,CI,Alta,Madrid,Madrid,"C/ SALVADOR DALI, 11-BIS , Bajo",28320,"40.23828, -3.69881",D,Listo,i-DE (Iberdrola)
Torrejón de Ardoz,ES0021000005648016LH,CJ,Alta,Madrid,Madrid,"Avda. de la  Constitución, 99",28850,"40.45732, -3.47391",C,Listo,i-DE (Iberdrola)
Villaverde Alto,ES0021000004548434MC,CK,Alta,Madrid,Madrid,"C/ DOMINGO PARRAGA, 52, Bajo 3",28021,"40.34218, -3.71345",C,Listo,i-DE (Iberdrola)
Alcobendas,ES0021000003990520JV,CL,Alta,Madrid,Madrid,"Pº de Chopera, 28-30",28100,"40.53868, -3.63813",E,Listo,i-DE (Iberdrola)
Arganda del Rey,ES0022000008443501JG,CN,Alta,Madrid,Madrid,"Avda. de Madrid, 28",28500,"40.30558, -3.45761",E,Listo,UFD (Naturgy)
Las Rozas,ES0021000005570367RV,CR,Alta,Madrid,Madrid,"Ronda de la Plazuela, 9",28231,"40.49174, -3.87765",D,Listo,i-DE (Iberdrola)
Valdemoro,ES0021000005714126LA,CS,Alta,Madrid,Madrid,"Pº de la Estación, 4-6",28343,"40.19131, -3.67316",D,Listo,i-DE (Iberdrola)
Collado Villalba,ES0021000012871178MF,CT,Alta,Madrid,Madrid,"Camino del Molino, 21",28400,"40.62605, -4.02581",C,Listo,i-DE (Iberdrola)
Humanes,ES0021000015786110BB,CU,Alta,Madrid,Madrid,"Ramón y Cajal, 15",28970,"40.25982, -3.82122",F,Listo,i-DE (Iberdrola)
Tres Cantos,ES0021000005768816GE,CX,Alta,Madrid,Madrid,"Avda. de la Industria, 56",28760,"40.61481, -3.70278",D,Listo,i-DE (Iberdrola)
Ávila,ES0021000011885567RS,DB,Alta,Cast. León,Ávila,"C/ LOS HORNOS CALEROS, 37-2, 1º 5",05003,"40.65084, -4.67614",E,Listo,i-DE (Iberdrola)
Badajoz,ES0031101525318002GB,DC,Alta,Extremadura,Badajoz,"Av. Juan Pereda Pila, 16",06010,"38.86908, -6.97433",E,Listo,e-distribución (Endesa)
Cáceres,ES0021000002276644VD,DD,Alta,Extremadura,Cáceres,"Avda. Hernán Cortés, 36",10004,"39.47611, -6.3794",D,Listo,i-DE (Iberdrola)
Cuenca,ES0032000002952991ET,DE,Alta,Cast. La Mancha,Cuenca,CALLE HERMANOS BECERRIL Nº24,16004,"40.06152, -2.13184",G,Listo,Otra Distribuidora Local
Guadalajara,ES0021000015737260AJ,DF,Alta,Cast. La Mancha,Guadalajara,"C/ SATURNINO CALLEJA, 2-BIS , Bajo",19001,"40.64222, -3.14556",C,Listo,i-DE (Iberdrola)
Palencia,ES0021000006893417WS,DG,Alta,Cast. León,Palencia,"Avda CASTILLA, 65, Bajo 4",34005,"42.00739, -4.53497",F,Listo,i-DE (Iberdrola)
Salamanca,ES0021000007115109GX,DH,Alta,Cast. León,Salamanca,"P.º ESTACION, 27, Bajo 3",37004,"40.96957, -5.65608",C,Listo,i-DE (Iberdrola)
Segovia,ES0022000005217961AF,DI,Alta,Cast. León,Segovia,PE PASEO CONDE DE SEPULVEDA 00022 * CL IN IC,40006,"40.93823, -4.11492",C,Listo,UFD (Naturgy)
Soria,ES0021000007301697CE,DJ,Alta,Cast. León,Soria,"C/ EDUARDO SAAVEDRA, 65, Bajo 2",42004,"41.75906, -2.47485",E,Listo,i-DE (Iberdrola)
Talavera de la Reina,ES0021000010451115XG,DK,Alta,Cast. La Mancha,Toledo,"CALLE BANDERAS DE CASTILLA Nº2,",45600,"39.9624, -4.82503",D,Listo,i-DE (Iberdrola)
Tarragona,ES0031405650791001PZ,FE,Alta,Catalunya,Tarragona,"AV CATALUNYA 43, BJO",43002,"41.12334, 1.2471",D,Listo,e-distribución (Endesa)
Toledo,ES0021000007536341XC,DK,Alta,Cast. La Mancha,Toledo,"C/ ECUADOR, 4",45004,"39.86706, -4.02978",D,Listo,i-DE (Iberdrola)
Valladolid,ES0021000009322654MS,DL,Alta,Cast. León,Valladolid,"Avda SALAMANCA, 1, Bajo 1",47014,"41.65895, -4.73447",C,Listo,i-DE (Iberdrola)
Zamora,ES0021000011980816WK,DM,Alta,Cast. León,Zamora,"Avda PORTUGAL, 7, Bajo 5",49016,"41.50501, -5.73981",F,Listo,i-DE (Iberdrola)
Ciudad Real,ES0022000005012204GP,DN,Alta,Cast. La Mancha,Ciudad Real,CL CALLE RAMON Y CAJAL 00012 * CL IN IC,13001,"38.98422, -3.92683",Pending Audit,No Data,UFD (Naturgy)
Ciudad Real-2,ES0022000007289476RG,DN,Alta,Cast. La Mancha,Ciudad Real,CL CALLE CUCHILLERIA 00004   1,13001,"38.98492, -3.92794",D,Listo,UFD (Naturgy)
León,ES0021000013063393JB,DO,Alta,Cast. León,León,"P.º LA CHANTRIA, 10, Bajo",24005,"42.58798, -5.57177",D,Listo,i-DE (Iberdrola)
Ponferrada,ES0022000005335459MK,DP,Alta,Cast. León,León,CL CALLE GENERAL VIVES 00058 * CL IN IC,24401,"42.54905, -6.58381",E,Listo,UFD (Naturgy)
Puertollano,ES0022000005146640FD,DQ,Alta,Cast. La Mancha,Ciudad Real,AV AVENIDA PRIMERO DE MAYO 00042 DU CL IN IC,13500,"38.68643, -4.10314",D,Listo,UFD (Naturgy)
Valdepeñas,ES0022000007425527MX,DS,Alta,Cast. La Mancha,Ciudad Real,"Seis de Junio, 49",13300,"38.76295, -3.38692",D,Listo,UFD (Naturgy)
Alcázar de San Juan,ES0022000008574691JW,DS,Alta,Cast. La Mancha,Ciudad Real,Cl Poetisa Isabel Prieto 5,13600,"39.39303, -3.22067",C,Listo,UFD (Naturgy)
Villanueva de la Serena,ES0021000001933769JH,DT,Alta,Extremadura,Badajoz,"Plza.  Corazón de Jesús, 11",06700,"38.97051, -5.7996",D,Listo,i-DE (Iberdrola)
Mérida,ES0031104135323002RV,DW,Alta,Extremadura,Badajoz,"Av. Reina Sofía, s/n., bloque 1,",06800,"38.91228, -6.33515",E,Listo,e-distribución (Endesa)
Las Palmas,ES0031607030989001EM,EB,Alta,Canarias,Las Palmas,AV JUAN XXIII 8.CTRO ASISTEN.,35004,"28.1199, -15.42498",B,Listo,e-distribución (Endesa)
Tenerife,ES0031607515650001FZ,EC,Alta,Canarias,Tenerife,"AV SALLE (DE LA) 28 DUP, ASEPEYO, BJO, OFIC.SEGURO",38005,"28.4609, -16.25703",B,Listo,e-distribución (Endesa)
Tenerife 2,ES0031607515645001CM,EC,Alta,Canarias,Tenerife,"AV SALLE (DE LA) 19 DUP, ASEPEYO, OFICINA",38005,"28.46086, -16.25679",B,Listo,e-distribución (Endesa)
Gran Canaria Sur,ES0031601327612002EM,ED,Alta,Canarias,Las Palmas,CL PARTERA LEONORITA 4 LOCAL LOCAL,35100,"27.76616, -15.57402",D,Listo,e-distribución (Endesa)
